Player,Squad,Comp,Pos,primary_pos,Age,nineties,Fls,CrdY,CrdR,fouls_per90,card_rate_per90
Érik Lamela,Sevilla,La Liga,FWMF,FW,30,13.5,3.56,0.52,0.07,3.56,0.66
Gavi,Barcelona,La Liga,MFFW,MF,18,14.1,3.4,0.28,0.0,3.4,0.28
Óscar Trejo,Rayo Vallecano,La Liga,MFFW,MF,34,13.4,3.21,0.6,0.0,3.21,0.6
Alex Baena,Villarreal,La Liga,MFFW,MF,21,11.5,3.13,0.87,0.09,3.13,1.05
Óscar Valentín,Rayo Vallecano,La Liga,MF,MF,28,13.6,3.01,0.44,0.0,3.01,0.44
Mounaim El Idrissy,Ajaccio,Ligue 1,FW,FW,24,17.7,2.82,0.4,0.0,2.82,0.4
Fede San Emeterio,Cádiz,La Liga,MF,MF,25,10.8,2.78,0.46,0.0,2.78,0.46
Grejohn Kyei,Clermont Foot,Ligue 1,FW,FW,27,12.0,2.75,0.17,0.0,2.75,0.17
Mikel Merino,Real Sociedad,La Liga,MF,MF,26,14.3,2.73,0.28,0.0,2.73,0.28
Yeremi Pino,Villarreal,La Liga,MFFW,MF,20,12.4,2.66,0.24,0.0,2.66,0.24
Pathé Ciss,Rayo Vallecano,La Liga,MFDF,MF,28,10.2,2.65,0.39,0.0,2.65,0.39
Bonke Innocent,Lorient,Ligue 1,MF,MF,27,10.2,2.65,0.39,0.0,2.65,0.39
Brian Ocampo,Cádiz,La Liga,MFFW,MF,23,11.8,2.63,0.17,0.0,2.63,0.17
Vinicius Souza,Espanyol,La Liga,MF,MF,23,17.0,2.59,0.41,0.06,2.59,0.53
Christian Groß,Werder Bremen,Bundesliga,MF,MF,34,13.3,2.56,0.08,0.0,2.56,0.08
Lorenzo Colombo,Lecce,Serie A,FW,FW,20,11.0,2.55,0.36,0.0,2.55,0.36
Giorgio Scalvini,Atalanta,Serie A,DF,DF,19,13.7,2.55,0.36,0.0,2.55,0.36
Anthony Lozano,Cádiz,La Liga,FW,FW,29,12.7,2.52,0.24,0.0,2.52,0.24
Salis Abdul Samed,Lens,Ligue 1,MF,MF,22,20.0,2.45,0.15,0.0,2.45,0.15
Samu Costa,Almería,La Liga,MF,MF,22,12.7,2.44,0.24,0.0,2.44,0.24
Samu Castillejo,Valencia,La Liga,FW,FW,28,10.7,2.43,0.47,0.0,2.43,0.47
Jørgen Strand Larsen,Celta Vigo,La Liga,FW,FW,23,11.1,2.43,0.27,0.0,2.43,0.27
Alessandro Buongiorno,Torino,Serie A,DF,DF,23,15.7,2.42,0.38,0.0,2.42,0.38
Carles Aleñá,Getafe,La Liga,MF,MF,25,16.2,2.41,0.49,0.0,2.41,0.49
Mostafa Mohamed,Nantes,Ligue 1,FW,FW,25,13.4,2.39,0.0,0.0,2.39,0.0
Ryan Yates,Nott'ham Forest,Premier League,MF,MF,25,15.5,2.39,0.26,0.0,2.39,0.26
Evann Guessand,Nantes,Ligue 1,FWMF,FW,21,10.5,2.38,0.19,0.0,2.38,0.19
Thomas Henry,Hellas Verona,Serie A,FW,FW,28,11.4,2.37,0.35,0.0,2.37,0.35
Brais Méndez,Real Sociedad,La Liga,MF,MF,26,16.1,2.36,0.31,0.0,2.36,0.31
Roque Mesa,Valladolid,La Liga,MF,MF,33,11.9,2.35,0.42,0.0,2.35,0.42
M'Baye Niang,Auxerre,Ligue 1,FW,FW,28,11.5,2.35,0.17,0.17,2.35,0.51
Iddrisu Baba,Mallorca,La Liga,MF,MF,27,11.1,2.34,0.36,0.0,2.34,0.36
Kai Havertz,Chelsea,Premier League,FWMF,FW,23,17.7,2.32,0.17,0.0,2.32,0.17
Lucas Boyé,Elche,La Liga,FW,FW,26,13.5,2.3,0.22,0.07,2.3,0.36
Breel Embolo,Monaco,Ligue 1,FW,FW,25,17.1,2.28,0.12,0.0,2.28,0.12
Batista Mendy,Angers,Ligue 1,MFDF,MF,23,18.0,2.28,0.44,0.06,2.28,0.56
Mohamed Camara,Monaco,Ligue 1,MF,MF,23,15.4,2.27,0.26,0.06,2.27,0.38
Casemiro,Manchester Utd,Premier League,MF,MF,30,13.7,2.26,0.36,0.07,2.26,0.5
Federico Ceccherini,Hellas Verona,Serie A,DF,DF,30,11.5,2.26,0.61,0.09,2.26,0.79
Christoph Baumgartner,Hoffenheim,Bundesliga,MFFW,MF,23,17.8,2.25,0.22,0.0,2.25,0.22
Lucas Paquetá,West Ham,Premier League,MF,MF,25,12.0,2.25,0.25,0.0,2.25,0.25
Abdelhamid Sabiri,Sampdoria,Serie A,MFFW,MF,26,10.2,2.25,0.39,0.0,2.25,0.39
Hugo Mallo,Celta Vigo,La Liga,DF,DF,31,13.4,2.24,0.22,0.0,2.24,0.22
Isak Hien,Hellas Verona,Serie A,DF,DF,24,15.8,2.22,0.44,0.0,2.22,0.44
El Bilal Touré,Almería,La Liga,FW,FW,21,10.4,2.21,0.0,0.0,2.21,0.0
