Player,Squad,Comp,Pos,primary_pos,Age,nineties,market_value_in_eur,market_value_eur_M,valuation_date,pos_group,perf_score,value_score
Zakaria Aboukhlal,Toulouse,Ligue 1,FWMF,FW,22,16.7,9000000.0,9.0,2023-06-27,FW,1.3614011976047906,0.15126679973386561
Tammy Abraham,Roma,Serie A,FW,FW,25,17.6,40000000.0,40.0,2023-06-15,FW,1.686909090909091,0.04217272727272727
Che Adams,Southampton,Premier League,FW,FW,26,17.5,,,,FW,1.2725714285714285,
Miguel Almirón,Newcastle Utd,Premier League,FW,FW,29,20.2,32000000.0,32.0,2023-06-20,FW,1.6910495049504952,0.052845297029702976
Felipe Anderson,Lazio,Serie A,FW,FW,29,18.7,15000000.0,15.0,2023-06-15,FW,1.5858556149732619,0.10572370766488412
Komnen Andri?,Clermont Foot,Ligue 1,FW,FW,27,13.9,,,,FW,1.1647697841726619,
Michail Antonio,West Ham,Premier League,FW,FW,32,11.7,7000000.0,7.0,2023-06-20,FW,1.3129401709401707,0.18756288156288153
Antony,Manchester Utd,Premier League,FW,FW,22,10.1,60000000.0,60.0,2023-06-20,FW,1.2380297029702971,0.020633828382838285
Antony,Manchester Utd,Premier League,FW,FW,22,10.1,600000.0,0.6,2023-06-16,FW,1.2380297029702971,2.063382838283829
Adam Armstrong,Southampton,Premier League,FW,FW,26,11.4,10000000.0,10.0,2023-06-20,FW,0.6967192982456141,0.06967192982456141
Marko Arnautovi?,Bologna,Serie A,FW,FW,33,13.2,,,,FW,1.495060606060606,
Iago Aspas,Celta Vigo,La Liga,FW,FW,35,18.5,6000000.0,6.0,2023-06-13,FW,2.0774864864864866,0.34624774774774775
Ezequiel Ávila,Osasuna,La Liga,FWMF,FW,29,12.9,,,,FW,1.5266356589147287,
Jordan Ayew,Crystal Palace,Premier League,FWMF,FW,31,16.6,5000000.0,5.0,2023-06-20,FW,1.0232409638554216,0.20464819277108431
Leon Bailey,Aston Villa,Premier League,FWMF,FW,25,14.6,28000000.0,28.0,2023-06-20,FW,1.370972602739726,0.0489633072407045
Folarin Balogun,Reims,Ligue 1,FW,FW,21,17.7,30000000.0,30.0,2023-06-27,FW,1.665960451977401,0.05553201506591336
Jonathan Bamba,Lille,Ligue 1,FW,FW,26,16.2,20000000.0,20.0,2023-06-27,FW,1.9419135802469136,0.09709567901234568
Lameck Banda,Lecce,Serie A,FWMF,FW,22,11.7,4000000.0,4.0,2023-06-15,FW,0.9204700854700854,0.23011752136752134
Léo Baptistão,Almería,La Liga,FWMF,FW,30,10.5,1800000.0,1.8,2023-06-13,FW,1.5027142857142857,0.8348412698412698
Sheraldo Becker,Union Berlin,Bundesliga,FW,FW,28,16.2,17000000.0,17.0,2023-06-22,FW,1.8240987654320988,0.10729992737835875
Wissam Ben Yedder,Monaco,Ligue 1,FW,FW,32,12.6,15000000.0,15.0,2023-06-27,FW,2.3691111111111116,0.15794074074074077
