league,pos_group,player_count,avg_perf_score,avg_value_score,avg_market_value_eur_M
La Liga,DF,68,8.11,6.0182,11.13
Ligue 1,DF,88,8.733,4.1345,9.17
Serie A,DF,91,8.308,3.8833,10.17
Bundesliga,DF,70,9.017,2.2091,12.93
Premier League,DF,85,9.056,1.6614,20.74
Bundesliga,FW,31,1.807,0.8522,17.72
La Liga,FW,43,1.506,0.7242,18.22
Premier League,FW,51,1.561,0.3256,34.18
Ligue 1,FW,38,1.487,0.2486,18.15
Serie A,FW,41,1.507,0.234,19.82
Ligue 1,MF,70,12.23,4.145,10.73
Premier League,MF,71,10.504,2.6999,31.98
La Liga,MF,59,11.321,1.8735,16.7
Serie A,MF,48,10.174,1.7984,15.7
Bundesliga,MF,47,9.021,1.6542,18.9
