pos_group,Player,Squad,Comp,Age,nineties,perf_score,perf_rank,market_value_eur_M,avg_market_value_eur_M_top5
DF,Ethan Pinnock,Brentford,Premier League,29,14.0,16.14,1,14.0,11.5
DF,Andrei Girotto,Nantes,Ligue 1,30,20.8,15.690000000000001,2,4.0,11.5
DF,Lucas Martínez Quarta,Fiorentina,Serie A,26,13.1,14.66,3,10.0,11.5
DF,Mohammed Salisu,Southampton,Premier League,23,21.0,14.419999999999998,4,18.0,11.5
DF,Marc-Oliver Kempf,Hertha BSC,Bundesliga,28,18.4,13.57,5,,11.5
FW,Khvicha Kvaratskhelia,Napoli,Serie A,22,13.7,3.3619416058394163,1,85.0,50.4
FW,Riyad Mahrez,Manchester City,Premier League,31,10.0,2.96,2,20.0,50.4
FW,Vincenzo Grifo,Freiburg,Bundesliga,29,14.3,2.929230769230769,3,12.0,50.4
FW,Serge Gnabry,Bayern Munich,Bundesliga,27,12.3,2.8957073170731706,4,55.0,50.4
FW,Randal Kolo Muani,Eint Frankfurt,Bundesliga,24,16.0,2.8865,5,80.0,50.4
MF,Toni Kroos,Real Madrid,La Liga,33,13.5,30.273,1,15.0,35.8
MF,Corentin Tolisso,Lyon,Ligue 1,28,10.3,23.328000000000003,2,14.0,35.8
MF,Marco Verratti,Paris S-G,Ligue 1,30,13.8,22.560999999999996,3,40.0,35.8
MF,Joshua Kimmich,Bayern Munich,Bundesliga,28,17.8,22.228,4,75.0,35.8
MF,Lionel Messi,Paris S-G,Ligue 1,35,17.5,20.802,5,35.0,35.8
